Sonntag, 06.Mai 2018	97.1		20180506
Montag, 07.Mai 2018	97.5		20180507
Dienstag, 08.Mai 2018	98.1		20180508
Mittwoch, 09.Mai 2018	98.9		20180509
Donnerstag, 10.Mai 2018	98.2		20180510
Freitag, 11.Mai 2018	97.3		20180511
Samstag, 12.Mai 2018	98.0		20180512
Sonntag, 13.Mai 2018	98.0		20180513
Montag, 14.Mai 2018	97.5		20180514
Dienstag, 15.Mai 2018	97.8		20180515
Mittwoch, 16.Mai 2018	97.1		20180516
Donnerstag, 17.Mai 2018	97.5		20180517
Freitag, 18.Mai 2018	97.5		20180518
Samstag, 19.Mai 2018	97.3		20180519
Sonntag, 20.Mai 2018	96.8		20180520
Montag, 21.Mai 2018	96.8		20180521
Dienstag, 22.Mai 2018	96.8		20180522
Mittwoch, 23.Mai 2018	96.4		20180523
Freitag, 25.Mai 2018	97.0		20180525
Samstag, 26.Mai 2018	96.9		20180526
Sonntag, 27.Mai 2018	96.8		20180527
Montag, 28.Mai 2018	97.7		20180528
Dienstag, 29.Mai 2018	97.7		20180529
Mittwoch, 30.Mai 2018	96.5		20180530
Donnerstag, 31.Mai 2018	96.4		20180531
Freitag, 01.Juni 2018	96.4		20180601
Samstag, 02.Juni 2018	95.5		20180602
Sonntag, 03.Juni 2018	96.4		20180603
Montag, 04.Juni 2018	97.0		20180604
Dienstag, 05.Juni 2018	97.0		20180605
Mittwoch, 06.Juni 2018	97.0		20180606
Donnerstag, 07.Juni 2018	97.6		20180607
Freitag, 08.Juni 2018	96.4		20180608
Samstag, 09.Juni 2018	96.4		20180609
Sonntag, 10.Juni 2018	96.6		20180610
Montag, 11.Juni 2018	97.2		20180611
Dienstag, 12.Juni 2018	96.7		20180612
Mittwoch, 13.Juni 2018	97.5		20180613
Donnerstag, 14.Juni 2018	97.8		20180614
Freitag, 15.Juni 2018	98.1		20180615
Samstag, 16.Juni 2018	98.3		20180616
Sonntag, 17.Juni 2018	97.8		20180617
Montag, 18.Juni 2018	98.3		20180618
Dienstag, 19.Juni 2018	98.3		20180619
Mittwoch, 20.Juni 2018	99.0		20180620
Donnerstag, 21.Juni 2018	98.9		20180621
Freitag, 22.Juni 2018	98.1		20180622
Samstag, 23.Juni 2018	97.8		20180623
Sonntag, 24.Juni 2018	97.5		20180624
Montag, 25.Juni 2018	97.4		20180625
Dienstag, 26.Juni 2018	98.6		20180626
Mittwoch, 27.Juni 2018	98.2		20180627
Donnerstag, 28.Juni 2018	99.1		20180628
Freitag, 29.Juni 2018	99.1		20180629
Samstag, 30.Juni 2018	99.1		20180630
Sonntag, 01.Juli 2018	98.8		20180701
Montag, 02.Juli 2018	99.5		20180702
Dienstag, 03.Juli 2018	98.6		20180703
Mittwoch, 04.Juli 2018	98.6		20180704
Donnerstag, 05.Juli 2018	99.5		20180705
Freitag, 06.Juli 2018	99.7		20180706
Samstag, 07.Juli 2018	98.7		20180707
Sonntag, 08.Juli 2018	99.0		20180708
Montag, 09.Juli 2018	99.0		20180709
Dienstag, 10.Juli 2018	100.0		20180710
Mittwoch, 11.Juli 2018	100.1		20180711
